,,,,,,,,,,,,,,,
Normais Climatológicas do Brasil 1961-1990,,,,,,,,,,,,,,,
Número de Dias com Precipitação Maior ou Igual a 1 mm (dias),,,,,,,,,,,,,,,
Código,Nome da Estação,UF,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Ano
83757,Piraí,RJ,14,11,9,8,6,4,4,4,6,12,12,15,105
83738,Resende,RJ,17,13,14,8,5,4,3,3,7,11,13,17,115
83743,Rio de Janeiro,RJ,11,7,8,9,6,6,4,5,7,9,10,11,93
83789,Santa Cruz,RJ,11,8,9,9,7,5,5,6,8,11,11,11,101
83696,Santa Maria Madalena,RJ,14,11,9,9,7,6,6,4,7,11,13,15,112
83798,Santa Teresa,RJ,11,8,8,10,7,6,6,6,7,11,11,12,103
83802,São Bento (Duque de Caxias),RJ,12,10,9,8,7,5,5,5,7,11,12,14,105
83806,Teresópolis - P. Nacional,RJ,19,15,14,13,9,7,7,8,10,17,18,19,156
83763,Tinguá,RJ,16,12,13,10,8,6,6,6,9,14,14,16,130
83742,Vassouras,RJ,15,11,11,8,5,4,3,3,6,11,12,15,104
83764,Xerém,RJ,17,15,13,10,8,7,8,6,9,15,15,18,141
82590,Apodí,RN,5,9,15,15,11,7,5,1,1,1,1,2,73
82596,Ceará Mirim,RN,7,10,15,14,15,14,15,9,7,6,4,4,120
82693,Cruzeta,RN,4,8,12,12,7,4,4,2,1,0,1,2,57
82691,Florânia,RN,5,9,14,13,9,5,5,1,0,1,1,3,66
82594,Macau,RN,3,5,10,12,9,5,4,1,1,0,0,1,51
82598,Natal,RN,6,9,14,16,14,16,17,13,8,4,4,5,126
82825,Porto Velho,RO,19,19,20,17,11,4,3,4,11,13,16,19,156
82024,Boa Vista,RR,3,3,4,6,14,21,19,15,8,5,5,4,107
83931,Alegrete,RS,9,6,7,6,6,6,9,8,8,8,6,7,86
83980,Bagé,RS,7,7,8,6,6,8,9,9,8,7,7,6,88
83941,Bento Gonçalves,RS,11,10,10,7,8,9,9,11,11,10,9,10,115
83919,Bom Jesus,RS,14,12,12,7,8,9,10,10,10,10,9,9,120
83959,Caçapava do Sul,RS,9,7,8,5,5,8,9,9,10,8,8,7,93
83963,Cachoeira do Sul,RS,9,7,8,6,6,8,9,9,9,8,7,7,93
83942,Caxias do Sul,RS,13,11,10,8,9,9,10,11,12,11,10,10,124
83912,Cruz Alta,RS,10,8,8,7,7,7,10,10,9,9,8,9,102
83964,Encruzilhada do Sul,RS,10,8,9,6,7,9,11,10,8,8,7,7,100
83915,Guaporé,RS,11,9,10,7,6,7,8,10,11,10,9,9,107
83881,Iraí,RS,11,10,9,6,7,8,8,9,10,10,9,8,105
83929,Itaqui,RS,6,6,7,4,4,6,6,8,7,6,6,6,72
83916,Lagoa Vermelha,RS,11,10,10,7,7,8,8,10,11,10,8,8,108
83885,Marcelino Ramos,RS,11,10,9,7,5,8,7,9,11,10,7,9,103
83880,Palmeira das Missões,RS,10,9,8,7,7,8,9,10,10,9,8,8,103
83914,Passo Fundo,RS,12,10,10,7,7,8,10,10,11,9,8,9,111
83985,Pelotas,RS,8,9,8,6,6,7,9,9,9,7,6,8,92
83967,Porto Alegre,RS,9,8,8,7,8,9,9,9,10,9,8,7,101
83995,Rio Grande,RS,8,8,8,5,6,8,10,8,9,7,6,5,88
83936,Santa Maria,RS,9,8,8,6,8,8,9,9,8,8,7,8,96
83997,Santa Vitória do Palmar,RS,7,7,8,6,7,8,8,7,7,7,6,6,84
83953,Santana do Livramento,RS,7,6,8,5,6,6,8,8,9,7,7,7,84
83909,Santo Ângelo,RS,8,8,7,6,6,6,8,9,10,9,7,8,92
83957,São Gabriel,RS,8,6,7,5,6,8,8,9,9,8,6,6,86
83907,São Luiz Gonzaga,RS,9,8,8,6,6,8,9,9,9,8,8,8,96
83966,Tapes,RS,9,8,9,6,6,8,9,8,10,7,7,7,94
83948,Torres,RS,10,11,12,8,7,7,8,10,10,9,9,8,109
83927,Uruguaiana,RS,7,7,8,7,6,6,7,6,7,8,7,7,83
83918,Vacaria,RS,12,9,10,7,5,7,9,10,10,10,8,9,106
83921, Araranguá ,SC,9,10,10,7,6,6,6,7,11,9,8,8,97
83898,Camboriú,SC,12,14,11,9,6,7,8,8,10,11,12,13,121
83887,Campos Novos,SC,13,12,10,8,9,9,9,9,10,9,8,10,116
83883,Chapecó,SC,11,11,10,7,8,8,10,10,9,9,9,9,111
83897,Florianópolis,SC,12,13,12,8,7,8,8,8,11,11,11,11,120
83872,Indaial,SC,15,14,13,8,9,9,8,8,13,11,11,13,132
83865,Irineópolis ,SC,13,11,12,7,6,8,8,8,10,11,10,12,116
83891,Lages,SC,13,11,11,7,6,7,8,9,10,10,10,9,111
83924,Laguna,SC,11,12,12,8,9,8,8,9,12,10,10,10,119
83922,Orleans,SC,14,13,12,8,7,7,8,8,10,10,9,10,116
83864,Porto União,SC,13,12,11,7,8,8,7,8,10,10,10,12,116
83874,São Francisco do Sul,SC,17,16,15,13,12,9,8,8,15,14,13,14,154
83920,São Joaquim,SC,13,12,12,7,7,8,8,9,11,10,10,10,117
83923,Urussanga,SC,14,13,13,8,8,8,8,8,11,11,10,11,123
83858,Xanxerê,SC,13,13,12,8,8,9,9,10,12,11,9,10,124
83096,Aracaju,SE,7,9,13,15,17,18,16,13,10,5,5,5,133
83195,Itabaianinha,SE,6,10,12,13,16,17,17,14,11,7,6,6,135
83097,Propriá,SE,4,6,9,12,15,16,16,14,9,4,3,4,112
83672,Araçatuba,SP,13,12,10,4,4,3,3,3,5,9,9,12,87
83773,Avaré,SP,15,13,11,6,8,6,4,5,8,8,9,12,105
83712,Bananal,SP,16,13,12,7,4,5,4,4,5,14,12,15,111
